price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
88.0,151.0,5.0,4.0,1,1,1,1,Nhà mặt phố,30.0,5.834717791411043,Cầu Giấy
5.5,72.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,4.5,Ngoại thành
4.95,67.0,1.0,2.0,1,1,0,1,Căn hộ chung cư,8.498443223443223,5.834717791411043,Hoàng Mai
1.2,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Ngoại thành
1.5,60.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Ngoại thành
6.68,135.0,1.0,3.0,1,1,1,1,Căn hộ chung cư,40.0,8.0,Hà Đông
15.6,45.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,6.0,3.5,Ba Đình
19.8,50.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,4.2,Đống Đa
19.6,46.0,7.0,4.0,1,1,1,1,Nhà trong hẻm,7.0,4.2,Đống Đa
27.9,90.0,8.0,18.0,1,1,1,1,Nhà mặt phố,10.0,4.5,Thanh Xuân
25.0,60.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,7.0,6.0,Đống Đa
56.8,71.0,5.0,5.0,1,1,1,1,Nhà mặt phố,30.0,4.8,Tây Hồ
2.4,86.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Ngoại thành
2.2,60.0,5.0,5.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Ngoại thành
16.5,75.0,5.0,16.0,1,1,1,1,Nhà mặt phố,20.0,5.0,Hà Đông
5.4,25.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,4.1,Đống Đa
6.95,35.0,5.0,3.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Tây Hồ
15.2,38.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,4.0,3.5,Cầu Giấy
4.3,32.0,4.0,3.0,1,1,1,0,Nhà trong hẻm,2.5,3.5,Ngoại thành
7.5,32.0,6.0,3.0,1,1,1,1,Nhà mặt phố,3.0,4.0,Bắc Từ Liêm
7.7,38.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,4.0,3.4,Bắc Từ Liêm
7.1,34.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,2.5,3.3,Bắc Từ Liêm
2.7,100.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.834717791411043,Ngoại thành
2.3,100.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.834717791411043,Ngoại thành
25.5,100.0,5.0,4.0,0,0,0,0,Nhà mặt phố,18.0,5.0,Hà Đông
18.5,55.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,6.0,4.5,Hoàng Mai
3.3,68.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,4.5,Gia Lâm
3.7,80.0,5.0,5.0,0,0,0,1,Nhà mặt phố,3.0,5.2,Gia Lâm
22.0,72.0,5.0,6.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Thanh Xuân
59.5,200.0,4.0,5.0,1,1,1,1,Nhà mặt phố,60.0,11.0,Hà Đông
7.58,35.0,5.0,3.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Đống Đa
10.2,37.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Hà Đông
14.0,64.0,6.0,5.0,0,0,0,0,Nhà mặt phố,15.0,4.0,Ngoại thành
6.6,60.0,5.0,5.0,0,0,0,0,Nhà mặt phố,9.0,4.0,Ngoại thành
8.0,36.0,6.0,4.0,1,1,1,0,Nhà trong hẻm,5.0,3.5,Nam Từ Liêm
38.0,120.0,10.0,14.0,1,1,1,0,Nhà mặt phố,7.0,10.0,Ba Đình
13.0,56.0,5.0,4.0,1,1,1,0,Nhà trong hẻm,2.5,4.0,Tây Hồ
14.8,50.0,7.0,9.0,0,0,0,0,Nhà trong hẻm,3.5,3.8,Đống Đa
19.3,52.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,6.0,4.7,Thanh Xuân
12.5,50.0,1.0,2.0,1,1,1,1,Nhà mặt phố,4.0,15.0,Hà Đông
10.4,45.0,5.0,4.0,1,1,1,1,Nhà mặt phố,4.0,3.6,Hà Đông
11.95,50.0,5.0,4.0,1,1,1,1,Nhà mặt phố,12.0,4.0,Hà Đông
10.75,45.0,3.0,3.0,1,1,1,1,Nhà mặt phố,3.5,4.2,Hà Đông
19.9,83.0,5.0,4.0,1,1,1,1,Nhà mặt phố,12.0,5.0,Hà Đông
12.8,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,12.0,4.0,Hà Đông
13.5,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,15.0,4.3,Hà Đông
18.5,83.0,5.0,4.0,1,1,1,1,Nhà mặt phố,13.0,5.0,Hà Đông
15.8,65.0,4.0,4.0,1,1,1,1,Nhà mặt phố,4.0,7.9,Bắc Từ Liêm
85.0,120.0,8.0,7.0,1,1,1,1,Nhà mặt phố,4.0,10.0,Tây Hồ
17.5,90.0,2.0,3.0,0,0,0,0,Nhà mặt phố,7.0,4.0,Hoàng Mai
17.3,75.0,4.0,5.0,1,1,1,1,Nhà mặt phố,15.0,5.834717791411043,Hà Đông
3.2,100.0,5.0,5.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Ngoại thành
15.8,80.0,7.0,16.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Cầu Giấy
62.5,145.0,4.0,5.0,0,0,0,0,Nhà mặt phố,17.0,10.0,Nam Từ Liêm
20.0,68.0,4.0,2.0,0,0,0,0,Nhà mặt phố,25.0,4.5,Gia Lâm
12.7,73.0,3.0,2.0,0,0,0,0,Nhà mặt phố,20.0,5.6,Gia Lâm
18.8,110.0,4.0,4.0,0,0,0,0,Nhà mặt phố,25.0,5.0,Gia Lâm
6.3,70.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,7.0,5.0,Gia Lâm
18.8,110.0,5.0,4.0,0,0,0,0,Nhà mặt phố,25.0,5.0,Gia Lâm
7.8,95.0,5.0,4.0,1,1,1,0,Nhà mặt phố,12.0,5.1,Gia Lâm
55.0,290.0,5.0,5.0,0,0,0,1,Nhà mặt phố,20.0,12.5,Long Biên
6.9,48.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.5,3.9,Hoàng Mai
15.8,74.0,5.0,7.0,1,1,1,0,Nhà trong hẻm,5.0,3.6,Ba Đình
10.0,40.0,4.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Tây Hồ
1.98,75.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.5,Ngoại thành
7.7,35.0,5.0,4.0,1,1,1,1,Nhà mặt phố,5.0,3.0,Hoàng Mai
16.9,60.0,7.0,17.0,0,0,0,0,Nhà trong hẻm,2.9,5.834717791411043,Cầu Giấy
27.7,58.0,7.0,10.0,0,0,0,0,Nhà mặt phố,20.0,5.834717791411043,Cầu Giấy
4.0,95.0,5.0,1.0,1,1,0,0,Nhà mặt phố,6.0,3.3,Bắc Từ Liêm
26.0,168.0,5.0,5.0,0,0,0,1,Nhà mặt phố,15.0,11.0,Long Biên
59.5,68.0,6.0,8.0,1,1,1,1,Nhà mặt phố,25.0,8.0,Đống Đa
8.0,35.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Đống Đa
10.9,45.0,5.0,5.0,0,0,0,0,Nhà mặt phố,2.8,5.834717791411043,Ba Đình
24.5,60.0,1.0,1.0,0,0,0,0,Nhà mặt phố,20.0,4.0,Cầu Giấy
7.5,81.0,1.0,2.0,0,0,0,0,Căn hộ chung cư,8.0,5.834717791411043,Bắc Từ Liêm
14.6,48.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.834717791411043,Tây Hồ
24.6,65.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.834717791411043,Cầu Giấy
10.5,64.0,1.0,1.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Cầu Giấy
5.65,79.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,8.0,Ngoại thành
13.0,40.0,6.0,4.0,0,0,0,0,Nhà mặt phố,2.0,5.834717791411043,Đống Đa
14.0,36.0,6.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Thanh Xuân
7.6,51.0,2.0,2.0,1,1,0,1,Nhà trong hẻm,2.5,3.7,Hai Bà Trưng
9.7,40.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,2.5,7.0,Ba Đình
13.9,64.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,5.0,4.1,Thanh Xuân
13.8,70.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
12.8,70.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
12.6,85.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
14.0,52.0,4.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.834717791411043,Nam Từ Liêm
5.0,84.0,12.0,3.0,1,1,1,1,Căn hộ chung cư,10.0,10.0,Nam Từ Liêm
3.6,49.0,3.0,3.0,1,1,1,0,Nhà mặt phố,3.5,4.0,Đông Anh
3.7,70.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.0,4.0,Đông Anh
2.85,47.0,1.0,5.0,0,0,0,0,Nhà mặt phố,3.5,4.3,Đông Anh
8.5,30.0,6.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.4,Hoàng Mai
16.0,90.0,7.0,16.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Đống Đa
5.2,40.0,5.0,5.0,1,1,1,1,Nhà mặt phố,3.0,5.834717791411043,Nam Từ Liêm
3.4,92.0,5.0,5.0,0,0,0,0,Nhà mặt phố,2.0,4.1,Gia Lâm
3.6,40.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.5,Gia Lâm
3.9,40.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,6.0,Gia Lâm
88.0,220.0,8.0,4.0,0,0,0,0,Nhà mặt phố,30.0,25.0,Hà Đông
6.95,38.0,6.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Hoàng Mai
9.3,90.0,1.0,4.0,0,0,0,0,Căn hộ chung cư,8.0,5.834717791411043,Hai Bà Trưng
19.5,55.0,5.0,7.0,1,1,1,1,Nhà mặt phố,6.0,4.2,Hoàng Mai
26.0,50.0,7.0,10.0,1,1,1,1,Nhà mặt phố,20.0,4.0,Ba Đình
5.95,31.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Hai Bà Trưng
12.0,65.0,7.0,13.0,0,0,0,0,Nhà mặt phố,3.0,5.834717791411043,Cầu Giấy
11.8,45.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,4.0,4.0,Hai Bà Trưng
11.5,50.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.0,Hai Bà Trưng
17.9,95.0,7.0,20.0,1,1,1,1,Nhà mặt phố,6.0,4.5,Long Biên
54.0,120.0,2.0,4.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Đống Đa
2.75,55.0,3.0,2.0,0,0,0,0,Căn hộ chung cư,30.0,5.0,Bắc Từ Liêm
5.46,34.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,2.0,3.5,Hoàng Mai
6.95,40.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,3.0,4.0,Hoàng Mai
28.49,81.0,8.0,18.0,1,1,1,0,Nhà mặt phố,6.0,4.1,Thanh Xuân
12.9,52.0,9.0,16.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Thanh Xuân
10.2,46.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,4.0,3.5,Hoàng Mai
5.9,30.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,4.0,Hai Bà Trưng
10.2,46.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,4.0,4.0,Hoàng Mai
13.6,47.0,6.0,4.0,1,1,1,1,Nhà mặt phố,5.0,5.834717791411043,Long Biên
5.2,60.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,5.0,6.0,Ngoại thành
12.5,67.0,7.0,18.0,0,0,0,0,Nhà mặt phố,3.0,5.834717791411043,Nam Từ Liêm
13.5,67.0,7.0,18.0,0,0,0,0,Nhà mặt phố,3.0,5.834717791411043,Cầu Giấy
