price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
9.8,55.0,5.0,6.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Hai Bà Trưng
41.0,60.0,9.0,6.0,1,1,1,1,Nhà mặt phố,20.0,5.5,Hoàn Kiếm
7.5,98.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.0,5.0,Gia Lâm
22.0,80.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,20.0,6.0,Cầu Giấy
34.5,275.0,2.0,4.0,1,1,1,1,Nhà mặt phố,10.0,9.0,Tây Hồ
10.0,68.0,4.0,5.0,1,1,1,0,Nhà trong hẻm,2.0,5.8,Thanh Xuân
1.55,60.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Ngoại thành
7.1,36.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,3.0,6.0,Hoàng Mai
5.05,31.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,6.0,4.0,Hoàng Mai
73.0,140.0,2.0,3.0,1,1,1,1,Nhà mặt phố,9.0,6.5,Ba Đình
2.65,41.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.5,3.4,Gia Lâm
14.5,60.0,4.0,4.0,1,1,1,1,Nhà mặt phố,20.0,5.0,Hà Đông
7.58,35.0,5.0,3.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Đống Đa
13.6,55.0,7.0,4.0,1,1,1,1,Nhà mặt phố,15.0,4.5,Đống Đa
22.0,76.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,7.5,4.3,Cầu Giấy
1.7,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,4.0,Ngoại thành
12.0,46.0,6.0,8.0,1,1,1,0,Nhà trong hẻm,3.0,4.2,Thanh Xuân
18.0,120.0,1.0,2.0,0,0,0,0,Nhà trong hẻm,5.0,5.834717791411043,Thanh Xuân
38.0,117.0,8.0,14.0,0,0,0,0,Nhà mặt phố,10.0,5.834717791411043,Ba Đình
1.59,130.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,8.5,Ngoại thành
17.6,140.0,1.0,5.0,0,0,0,1,Nhà mặt phố,7.0,15.0,Bắc Từ Liêm
12.0,59.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,0.0,0.0,Hà Đông
95.0,350.0,5.0,5.0,1,1,1,1,Nhà mặt phố,4.5,5.834717791411043,Tây Hồ
19.8,55.0,7.0,6.0,1,1,1,1,Nhà mặt phố,12.0,5.0,Long Biên
4.4,61.0,5.0,7.0,1,1,0,0,Nhà mặt phố,5.0,4.5,Cầu Giấy
7.95,74.0,2.0,2.0,1,1,0,0,Nhà trong hẻm,4.5,4.6,Nam Từ Liêm
17.0,63.0,6.0,6.0,1,1,1,1,Nhà mặt phố,15.0,6.1,Đống Đa
11.6,34.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,5.0,3.4,Nam Từ Liêm
20.0,70.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,10.0,5.834717791411043,Cầu Giấy
14.2,54.0,6.0,3.0,0,0,0,0,Nhà trong hẻm,5.0,5.0,Cầu Giấy
9.9,39.0,5.0,4.0,1,1,1,0,Nhà trong hẻm,3.5,4.5,Cầu Giấy
3.95,80.0,2.0,5.0,0,0,0,0,Nhà trong hẻm,5.0,5.834717791411043,Nam Từ Liêm
7.4,38.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,3.0,3.8,Hai Bà Trưng
17.5,90.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,5.0,4.6,Hoàng Mai
24.8,92.0,5.0,5.0,1,1,1,1,Nhà mặt phố,25.0,5.5,Thanh Xuân
5.85,63.0,1.0,5.0,0,0,0,1,Nhà mặt phố,8.498443223443223,5.834717791411043,Hoàng Mai
46.0,225.0,1.0,1.0,0,0,0,0,Nhà mặt phố,32.0,9.5,Cầu Giấy
3.79,39.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.5,Long Biên
2.55,49.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,5.0,Đông Anh
5.6,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,7.0,4.0,Ngoại thành
47.5,125.0,5.0,10.0,1,1,1,1,Nhà mặt phố,25.0,14.0,Cầu Giấy
5.5,33.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,2.0,3.0,Hà Đông
2.5,60.0,1.0,2.0,1,1,0,0,Căn hộ chung cư,8.498443223443223,5.834717791411043,Nam Từ Liêm
10.0,70.0,4.0,3.0,1,1,1,1,Nhà trong hẻm,6.0,0.0,Tây Hồ
15.5,150.0,2.0,8.0,1,1,1,1,Nhà trong hẻm,4.0,5.0,Đống Đa
58.5,229.0,10.0,10.0,0,0,0,0,Nhà mặt phố,40.0,9.5,Cầu Giấy
5.5,40.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Hà Đông
12.5,40.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,4.0,3.0,Hà Đông
62.5,135.0,1.0,1.0,1,1,1,1,Nhà mặt phố,25.0,7.0,Đống Đa
4.0,70.0,3.0,5.0,1,1,0,1,Nhà trong hẻm,8.498443223443223,5.834717791411043,Ngoại thành
43.0,171.0,11.0,1.0,0,0,0,0,Nhà mặt phố,30.0,5.0,Hoàn Kiếm
14.8,65.0,9.0,20.0,0,0,1,0,Nhà mặt phố,3.5,5.5,Nam Từ Liêm
7.2,31.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,4.0,Hà Đông
13.9,42.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,4.0,4.0,Cầu Giấy
12.5,50.0,4.0,3.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Hà Đông
10.5,39.0,5.0,3.0,1,1,0,0,Nhà trong hẻm,3.0,4.4,Hà Đông
29.9,86.0,4.0,4.0,0,0,0,0,Nhà mặt phố,15.0,8.2,Tây Hồ
2.9,35.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,4.0,Đông Anh
7.1,34.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,2.5,3.3,Bắc Từ Liêm
24.0,120.0,5.0,18.0,0,0,1,1,Nhà mặt phố,8.0,7.5,Nam Từ Liêm
10.8,35.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,2.0,3.5,Ba Đình
13.5,48.0,3.0,5.0,1,1,1,0,Nhà mặt phố,5.0,5.834717791411043,Hà Đông
13.9,81.0,3.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,7.7,Tây Hồ
33.5,225.0,1.0,2.0,1,1,1,1,Nhà mặt phố,21.0,9.6,Long Biên
75.0,120.0,4.0,4.0,1,1,1,1,Nhà mặt phố,25.0,5.0,Hoàn Kiếm
21.0,172.0,1.0,5.0,0,0,0,0,Nhà trong hẻm,0.0,0.0,Hoàng Mai
6.8,37.0,5.0,4.0,1,1,1,0,Nhà trong hẻm,3.0,4.5,Hoàng Mai
16.0,50.0,6.0,8.0,1,1,1,1,Nhà trong hẻm,4.0,5.834717791411043,Tây Hồ
51.0,260.0,4.0,9.0,0,0,0,0,Nhà mặt phố,12.0,5.834717791411043,Hoàng Mai
16.65,56.0,7.0,5.0,0,0,0,0,Nhà trong hẻm,6.0,5.834717791411043,Đống Đa
7.2,62.0,2.0,3.0,0,0,0,0,Nhà trong hẻm,5.0,5.834717791411043,Cầu Giấy
9.8,103.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.5,Đông Anh
7.2,31.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Thanh Xuân
28.0,150.0,1.0,1.0,0,0,0,0,Nhà mặt phố,7.0,5.834717791411043,Cầu Giấy
5.2,81.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.0,5.2,Gia Lâm
16.0,50.0,1.0,1.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Tây Hồ
