price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
24.0,96.0,5.0,4.0,0,0,0,0,Nhà mặt phố,10.0,5.180580675868634,Thanh Xuân
5.5,72.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,4.5,Ngoại thành
4.95,67.0,1.0,2.0,1,1,0,1,Căn hộ chung cư,6.154516539440205,5.180580675868634,Hoàng Mai
1.2,50.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Ngoại thành
1.5,60.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Ngoại thành
15.6,45.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,6.0,3.5,Ba Đình
19.8,50.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,4.2,Đống Đa
19.6,46.0,7.0,4.0,1,1,1,1,Nhà trong hẻm,7.0,4.2,Đống Đa
25.0,60.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,7.0,6.0,Đống Đa
2.4,86.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Ngoại thành
2.2,60.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Ngoại thành
5.4,25.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,4.1,Đống Đa
6.95,35.0,5.0,3.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Tây Hồ
15.2,38.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,4.0,3.5,Cầu Giấy
4.3,32.0,4.0,3.0,1,1,1,0,Nhà trong hẻm,2.5,3.5,Ngoại thành
7.5,32.0,6.0,3.0,1,1,1,1,Nhà mặt phố,3.0,4.0,Bắc Từ Liêm
7.7,38.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,4.0,3.4,Bắc Từ Liêm
7.1,34.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,2.5,3.3,Bắc Từ Liêm
2.7,100.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.180580675868634,Ngoại thành
2.3,100.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.180580675868634,Ngoại thành
25.5,100.0,5.0,4.0,0,0,0,0,Nhà mặt phố,18.0,5.0,Hà Đông
18.5,55.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,6.0,4.5,Hoàng Mai
3.3,68.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.0,4.5,Gia Lâm
3.7,80.0,5.0,4.0,0,0,0,1,Nhà mặt phố,3.0,5.2,Gia Lâm
22.0,72.0,5.0,6.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Thanh Xuân
7.58,35.0,5.0,3.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Đống Đa
10.2,37.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Hà Đông
14.0,64.0,6.0,4.0,0,0,0,0,Nhà mặt phố,15.0,4.0,Ngoại thành
6.6,60.0,5.0,4.0,0,0,0,0,Nhà mặt phố,9.0,4.0,Ngoại thành
8.0,36.0,6.0,4.0,1,1,1,0,Nhà trong hẻm,5.0,3.5,Nam Từ Liêm
13.0,56.0,5.0,4.0,1,1,1,0,Nhà trong hẻm,2.5,4.0,Tây Hồ
14.8,50.0,7.0,9.0,0,0,0,0,Nhà trong hẻm,3.5,3.8,Đống Đa
12.5,50.0,1.0,2.0,1,1,1,1,Nhà mặt phố,4.0,15.0,Hà Đông
10.4,45.0,5.0,4.0,1,1,1,1,Nhà mặt phố,4.0,3.6,Hà Đông
11.95,50.0,5.0,4.0,1,1,1,1,Nhà mặt phố,12.0,4.0,Hà Đông
10.75,45.0,3.0,3.0,1,1,1,1,Nhà mặt phố,3.5,4.2,Hà Đông
19.9,83.0,5.0,4.0,1,1,1,1,Nhà mặt phố,12.0,5.0,Hà Đông
12.8,50.0,5.0,4.0,0,0,0,0,Nhà mặt phố,12.0,4.0,Hà Đông
13.5,50.0,5.0,4.0,0,0,0,0,Nhà mặt phố,15.0,4.3,Hà Đông
18.5,83.0,5.0,4.0,1,1,1,1,Nhà mặt phố,13.0,5.0,Hà Đông
15.8,65.0,4.0,4.0,1,1,1,1,Nhà mặt phố,4.0,7.9,Bắc Từ Liêm
17.5,90.0,2.0,3.0,0,0,0,0,Nhà mặt phố,7.0,4.0,Hoàng Mai
17.3,75.0,4.0,5.0,1,1,1,1,Nhà mặt phố,15.0,5.180580675868634,Hà Đông
3.2,100.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Ngoại thành
20.0,68.0,4.0,2.0,0,0,0,0,Nhà mặt phố,25.0,4.5,Gia Lâm
12.7,73.0,3.0,2.0,0,0,0,0,Nhà mặt phố,20.0,5.6,Gia Lâm
18.8,110.0,4.0,4.0,0,0,0,0,Nhà mặt phố,25.0,5.0,Gia Lâm
6.3,70.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,7.0,5.0,Gia Lâm
18.8,110.0,5.0,4.0,0,0,0,0,Nhà mặt phố,25.0,5.0,Gia Lâm
7.8,95.0,5.0,4.0,1,1,1,0,Nhà mặt phố,12.0,5.1,Gia Lâm
6.9,48.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.5,3.9,Hoàng Mai
15.8,74.0,5.0,7.0,1,1,1,0,Nhà trong hẻm,5.0,3.6,Ba Đình
10.0,40.0,4.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Tây Hồ
1.98,75.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.5,Ngoại thành
7.7,35.0,5.0,4.0,1,1,1,1,Nhà mặt phố,5.0,3.0,Hoàng Mai
27.7,58.0,7.0,10.0,0,0,0,0,Nhà mặt phố,20.0,5.180580675868634,Cầu Giấy
4.0,95.0,5.0,1.0,1,1,0,0,Nhà mặt phố,6.0,3.3,Bắc Từ Liêm
